iter	Passed	Remaining
809	121870	179044
810	121979	178833
811	122084	178615
812	122188	178398
813	122288	178174
814	122402	177971
815	122510	177759
816	122616	177546
817	122714	177320
818	122836	177131
819	122947	176923
820	123053	176711
821	123162	176503
822	123261	176280
823	123367	176068
824	123469	175850
825	123570	175631
826	123685	175433
827	123795	175227
828	123905	175022
829	124066	174888
830	124227	174756
831	124351	174569
832	124474	174383
833	124590	174187
834	124711	173998
835	124856	173842
836	124973	173648
837	125125	173503
838	125252	173323
839	125383	173148
840	125498	172951
841	125611	172753
842	125726	172557
843	125842	172361
844	125949	172156
845	126070	171967
846	126210	171807
847	126325	171612
848	126434	171408
849	126559	171227
850	126697	171063
851	126811	170868
852	126954	170711
853	127113	170575
854	127282	170454
855	127460	170344
856	127634	170229
857	127775	170069
858	127901	169889
859	128070	169768
860	128245	169653
861	128418	169536
862	128566	169386
863	128752	169285
864	128868	169093
865	129003	168925
866	129128	168746
867	129269	168586
868	129409	168426
869	129538	168251
870	129667	168075
871	129805	167914
872	129957	167768
873	130111	167626
874	130262	167479
875	130380	167291
876	130489	167091
877	130602	166897
878	130723	166712
879	130837	166519
880	130976	166359
881	131092	166169
882	131204	165974
883	131338	165807
884	131461	165626
885	131575	165434
886	131714	165274
887	131820	165073
888	131931	164877
889	132036	164675
890	132136	164465
891	132242	164265
892	132383	164107
893	132505	163927
894	132648	163773
895	132811	163642
896	132966	163503
897	133081	163313
898	133196	163125
899	133309	162934
900	133419	162738
901	133558	162579
902	133683	162404
903	133793	162209
904	133902	162014
905	134021	161831
906	134148	161657
907	134257	161463
908	134360	161261
909	134471	161070
910	134588	160885
911	134706	160702
912	134821	160515
913	134931	160322
914	135062	160156
915	135206	160004
916	135358	159861
917	135513	159722
918	135674	159590
919	135832	159455
920	135955	159279
921	136099	159127
922	136249	158982
923	136394	158831
924	136509	158645
925	136671	158515
926	136800	158345
927	136921	158167
928	137030	157976
929	137149	157795
930	137275	157623
931	137394	157443
932	137509	157259
933	137635	157086
934	137754	156907
935	137867	156720
936	137979	156534
937	138101	156357
938	138222	156181
939	138344	156005
940	138452	155814
941	138572	155636
942	138694	155460
943	138804	155272
944	138911	155081
945	139020	154891
946	139135	154709
947	139247	154523
948	139368	154347
949	139483	154166
950	139642	154033
951	139803	153901
952	139961	153767
953	140111	153623
954	140227	153442
955	140336	153254
956	140445	153066
957	140587	152914
958	140698	152729
959	140809	152543
960	140921	152359
961	141029	152170
962	141159	152006
963	141273	151825
964	141376	151631
965	141483	151442
966	141585	151249
967	141712	151082
968	141834	150909
969	141947	150727
970	142047	150532
971	142153	150343
972	142288	150185
973	142406	150009
974	142512	149820
975	142616	149630
976	142749	149470
977	142871	149299
978	142979	149113
979	143082	148922
980	143188	148734
981	143299	148552
982	143407	148367
983	143515	148182
984	143685	148061
985	143813	147897
986	143929	147720
987	144050	147549
988	144157	147364
989	144278	147192
990	144399	147022
991	144509	146840
992	144620	146659
993	144739	146487
994	144846	146302
995	144955	146119
996	145060	145933
997	145163	145745
998	145279	145570
999	145385	145385
1000	145490	145200
1001	145606	145024
1002	145716	144845
1003	145829	144667
1004	145954	144501
1005	146066	144323
1006	146170	144138
1007	146281	143959
1008	146396	143784
1009	146513	143612
1010	146645	143454
1011	146793	143311
1012	146903	143132
1013	147014	142955
1014	147158	142809
1015	147280	142641
1016	147386	142459
1017	147494	142278
1018	147622	142117
1019	147738	141944
1020	147847	141765
1021	147953	141583
1022	148092	141433
1023	148245	141296
1024	148354	141117
1025	148467	140942
1026	148576	140764
1027	148692	140592
1028	148801	140414
1029	148913	140238
1030	149029	140067
1031	149132	139884
1032	149238	139703
1033	149340	139519
1034	149448	139340
1035	149558	139164
1036	149670	138990
1037	149776	138810
1038	149911	138657
1039	150036	138495
1040	150158	138330
1041	150287	138172
1042	150425	138021
1043	150569	137877
1044	150712	137732
1045	150829	137562
1046	150941	137389
1047	151061	137223
1048	151183	137059
1049	151295	136886
1050	151407	136713
1051	151524	136545
1052	151637	136373
1053	151749	136199
1054	151854	136021
1055	151957	135841
1056	152069	135668
1057	152180	135495
1058	152286	135317
1059	152393	135141
1060	152499	134964
1061	152603	134785
1062	152707	134606
1063	152813	134430
1064	152926	134259
1065	153086	134130
1066	153200	133961
1067	153311	133788
1068	153415	133610
1069	153517	133431
1070	153622	133254
1071	153727	133077
1072	153832	132900
1073	153938	132725
1074	154043	132548
1075	154149	132373
1076	154257	132200
1077	154360	132022
1078	154481	131860
1079	154588	131686
1080	154689	131507
1081	154794	131331
1082	154896	131154
1083	155004	130981
1084	155105	130803
1085	155212	130629
1086	155317	130455
1087	155421	130279
1088	155525	130104
1089	155631	129930
1090	155735	129756
1091	155837	129578
1092	155941	129404
1093	156043	129228
1094	156147	129053
1095	156291	128911
1096	156429	128765
1097	156541	128597
1098	156647	128425
1099	156749	128249
1100	156858	128079
1101	156971	127913
1102	157086	127748
1103	157207	127588
1104	157328	127429
1105	157439	127261
1106	157551	127094
1107	157661	126925
1108	157774	126760
1109	157888	126595
1110	158004	126432
1111	158129	126276
1112	158255	126121
1113	158382	125966
1114	158500	125805
1115	158616	125642
1116	158727	125475
1117	158868	125332
1118	158990	125174
1119	159115	125018
1120	159259	124879
1121	159383	124722
1122	159493	124555
1123	159616	124398
1124	159734	124237
1125	159845	124072
1126	159962	123910
1127	160067	123740
1128	160176	123572
1129	160286	123406
1130	160399	123242
1131	160504	123072
1132	160617	122908
1133	160728	122743
1134	160836	122575
1135	160946	122410
1136	161063	122249
1137	161175	122085
1138	161282	121917
1139	161388	121749
1140	161492	121579
1141	161602	121413
1142	161708	121246
1143	161809	121073
1144	161923	120912
1145	162033	120747
1146	162143	120582
1147	162260	120423
1148	162370	120258
1149	162492	120103
1150	162605	119941
1151	162713	119775
1152	162816	119605
1153	162925	119441
1154	163035	119276
1155	163147	119114
1156	163256	118950
1157	163362	118783
1158	163478	118624
1159	163616	118481
1160	163756	118338
1161	163896	118197
1162	164029	118050
1163	164169	117908
1164	164322	117776
1165	164433	117613
1166	164553	117457
1167	164662	117293
1168	164777	117134
1169	164905	116984
1170	165024	116828
1171	165145	116672
1172	165256	116510
1173	165364	116346
1174	165475	116185
1175	165589	116025
1176	165693	115858
1177	165796	115691
1178	165911	115532
1179	166012	115364
1180	166118	115199
1181	166220	115032
1182	166323	114866
1183	166427	114700
1184	166530	114533
1185	166648	114377
1186	166766	114221
1187	166870	114055
1188	167020	113921
1189	167137	113765
1190	167252	113608
1191	167355	113442
1192	167459	113277
1193	167577	113121
1194	167693	112965
1195	167802	112803
1196	167919	112647
1197	168020	112481
1198	168123	112316
1199	168235	112156
1200	168344	111996
1201	168456	111837
1202	168567	111677
1203	168675	111516
1204	168785	111356
1205	168904	111202
1206	169007	111037
1207	169108	110872
1208	169214	110710
1209	169320	110548
1210	169420	110381
1211	169561	110243
1212	169680	110089
1213	169795	109933
1214	169916	109781
1215	170030	109625
1216	170157	109476
1217	170285	109329
1218	170407	109178
1219	170526	109025
1220	170641	108869
1221	170762	108717
1222	170888	108569
1223	171012	108419
1224	171130	108266
1225	171250	108113
1226	171373	107963
1227	171498	107815
1228	171620	107664
1229	171736	107509
1230	171845	107351
1231	171962	107197
1232	172091	107051
1233	172204	106895
1234	172329	106746
1235	172442	106590
1236	172576	106447
1237	172695	106295
1238	172853	106167
1239	173002	106033
1240	173118	105879
1241	173233	105725
1242	173352	105573
1243	173466	105418
1244	173588	105268
1245	173701	105113
1246	173829	104966
1247	173936	104808
1248	174085	104674
1249	174202	104521
1250	174317	104367
1251	174430	104212
1252	174538	104054
1253	174647	103897
1254	174761	103743
1255	174881	103592
1256	175026	103456
1257	175159	103313
1258	175270	103157
1259	175392	103008
1260	175504	102853
1261	175637	102710
1262	175752	102557
1263	175885	102414
1264	176000	102260
1265	176123	102112
1266	176229	101954
1267	176333	101794
1268	176471	101655
1269	176587	101503
1270	176700	101348
1271	176821	101199
1272	176950	101055
1273	177069	100904
1274	177185	100752
1275	177300	100600
1276	177415	100447
1277	177522	100290
1278	177641	100140
1279	177767	99994
1280	177880	99840
1281	178017	99700
1282	178137	99551
1283	178259	99403
1284	178383	99256
1285	178504	99107
1286	178622	98957
1287	178745	98809
1288	178857	98656
1289	178977	98506
1290	179094	98356
1291	179204	98201
1292	179341	98062
1293	179464	97914
1294	179581	97764
1295	179698	97613
1296	179812	97461
1297	179924	97309
1298	180036	97155
1299	180151	97004
1300	180267	96853
1301	180372	96697
1302	180483	96544
1303	180595	96391
1304	180704	96237
1305	180816	96084
1306	180915	95925
1307	181021	95769
1308	181129	95615
1309	181266	95476
1310	181375	95322
1311	181481	95167
1312	181587	95011
1313	181695	94857
1314	181804	94704
1315	181954	94571
1316	182086	94430
1317	182202	94280
1318	182321	94132
1319	182434	93981
1320	182547	93830
1321	182654	93676
1322	182766	93524
1323	182878	93372
1324	182996	93224
1325	183112	93075
1326	183224	92924
1327	183349	92779
1328	183458	92626
1329	183564	92472
1330	183663	92314
1331	183775	92163
1332	183882	92010
1333	184002	91863
1334	184124	91717
1335	184240	91568
1336	184356	91419
1337	184477	91273
1338	184597	91126
1339	184728	90985
1340	184837	90833
1341	184954	90685
1342	185071	90537
1343	185189	90390
1344	185311	90244
1345	185436	90100
1346	185553	89952
1347	185669	89804
1348	185779	89653
1349	185880	89498
1350	185981	89342
1351	186095	89193
1352	186209	89044
1353	186318	88893
1354	186432	88744
1355	186544	88594
1356	186656	88445
1357	186787	88304
1358	186896	88153
1359	187021	88010
1360	187136	87862
1361	187255	87715
1362	187370	87568
1363	187473	87414
1364	187578	87261
1365	187686	87110
1366	187795	86960
1367	187899	86807
1368	188012	86658
1369	188128	86511
1370	188237	86361
1371	188354	86214
1372	188471	86068
1373	188598	85926
1374	188721	85782
1375	188832	85633
1376	188953	85488
1377	189067	85341
1378	189178	85191
1379	189290	85043
1380	189401	84894
1381	189526	84752
1382	189637	84603
1383	189745	84453
1384	189888	84318
1385	190001	84170
1386	190102	84017
1387	190203	83864
1388	190304	83712
1389	190414	83563
1390	190520	83412
1391	190628	83263
1392	190746	83117
1393	190862	82971
1394	191041	82853
1395	191210	82730
1396	191330	82585
